workflow_order,workflow_id,workflow_title,palette_lane,priority_tier,layer,object,canonical_path,member_type,member_name,accessible_label,context_label,blind_vi_purpose
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,highlighted_clip_slot,Highlighted clip slot,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,selected_scene,Selected scene,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,selection,Song.View,live_set view,child,selected_track,Selected track,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,scenes,Scene list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,tracks,Track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,session_global,Song,live_set,child,visible_tracks,Visible track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,scene,Scene,live_set scenes N,property,name,Scene name,Scene prop @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,is_part_of_selection,Part Of Selection,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,name,Track name,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track,Track,live_set tracks N,property,is_visible,Visible,Track prop @ tracks N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track_view,Track.View,live_set tracks N view,property,selected_track,Selected track in view,Track.View prop @ tracks N view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,core,track_view,Track.View,live_set tracks N view,property,visible_tracks,Visible tracks in view,Track.View prop @ tracks N view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,selection,Song.View,live_set view,child,detail_clip,Detail clip,Song.View child @ view,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,cue_points,Cue Points,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,master_track,Master track,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,return_tracks,Return track list,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,session_global,Song,live_set,child,view,Song view,Song child @ live_set,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,scene,Scene,live_set scenes N,child,clip_slots,Scene clip slots,Scene child @ scenes N,Confirms current location and nearby structure.
1,orientation_set_scanning,Orientation and Set Scanning,` + n,extended,scene,Scene,live_set scenes N,property,is_empty,Empty,Scene prop @ scenes N,Confirms current location and nearby structure.
